iter	Passed	Remaining
0	132	132611
1	136	68184
2	140	46652
3	144	36033
4	148	29562
5	151	25163
6	155	22024
7	158	19699
8	162	17848
9	166	16446
10	169	15222
11	172	14217
12	175	13356
13	180	12682
14	183	12045
15	186	11491
16	190	10990
17	194	10604
18	198	10234
19	201	9888
20	205	9598
21	210	9352
22	213	9083
23	217	8827
24	220	8601
25	224	8413
26	227	8215
27	231	8035
28	235	7880
29	239	7758
30	244	7632
31	247	7487
32	252	7385
33	255	7261
34	259	7142
35	262	7029
36	266	6945
37	270	6849
38	273	6750
39	277	6662
40	281	6593
41	286	6535
42	291	6481
43	297	6454
44	301	6402
45	305	6335
46	308	6252
47	311	6176
48	313	6082
49	315	6000
50	317	5910
51	319	5821
52	321	5736
53	322	5657
54	324	5579
55	326	5503
56	328	5430
57	330	5364
58	332	5298
59	333	5230
60	335	5163
61	337	5101
62	338	5039
63	340	4977
64	341	4918
65	343	4860
66	345	4812
67	347	4760
68	349	4709
69	350	4660
70	352	4610
71	354	4563
72	355	4515
73	357	4468
74	358	4425
75	361	4391
76	362	4348
77	364	4307
78	366	4266
79	367	4227
80	369	4188
81	370	4151
82	371	4106
83	373	4069
84	375	4040
85	377	4009
86	378	3977
87	380	3944
88	382	3914
89	384	3884
90	385	3852
91	387	3822
92	389	3795
93	391	3768
94	392	3740
95	394	3712
96	396	3687
97	397	3659
98	399	3633
99	400	3607
100	402	3581
101	404	3562
102	406	3541
103	408	3516
104	409	3493
105	411	3470
106	413	3448
107	414	3425
108	416	3402
109	417	3380
110	420	3364
111	421	3344
112	423	3326
113	425	3308
114	427	3288
115	428	3268
116	430	3246
117	431	3226
118	433	3207
119	435	3192
120	437	3174
121	438	3154
122	439	3137
123	441	3119
124	443	3101
125	444	3084
126	445	3065
127	447	3048
128	449	3032
129	450	3015
130	452	3000
131	454	2989
132	456	2977
133	458	2963
134	460	2949
135	462	2935
136	465	2929
137	497	3108
138	499	3091
139	500	3073
140	501	3057
141	503	3040
142	504	3023
143	505	3006
144	507	2989
145	508	2972
146	508	2953
147	509	2934
148	510	2915
149	511	2897
150	512	2880
151	513	2863
152	514	2846
153	514	2828
154	515	2811
155	516	2794
156	517	2776
157	517	2760
158	518	2743
159	519	2727
160	519	2709
161	520	2693
162	522	2682
163	523	2669
164	526	2663
165	527	2649
166	529	2640
167	530	2625
168	530	2610
169	531	2595
170	532	2581
171	533	2567
172	534	2553
173	534	2539
174	535	2525
175	536	2511
176	537	2498
177	537	2484
178	538	2470
179	539	2458
180	540	2446
181	541	2433
182	542	2420
183	542	2407
184	543	2394
185	544	2381
186	544	2369
187	545	2356
188	546	2344
189	547	2332
190	547	2320
191	548	2309
192	549	2297
193	550	2285
194	550	2273
195	551	2262
196	552	2250
197	552	2239
198	553	2227
199	554	2217
200	555	2207
201	556	2197
202	557	2187
203	557	2176
204	558	2166
205	559	2155
206	560	2145
207	560	2135
208	561	2124
209	562	2114
210	562	2104
211	563	2094
212	564	2084
213	564	2074
214	565	2064
215	566	2054
216	566	2045
217	567	2035
218	568	2025
219	568	2016
220	570	2010
221	571	2002
222	572	1994
223	573	1985
224	574	1977
225	574	1969
226	575	1960
227	576	1952
228	577	1943
229	578	1935
230	578	1927
231	579	1919
232	580	1910
233	581	1902
234	581	1894
235	582	1885
236	583	1878
237	584	1870
238	585	1863
